达人ID,达人昵称,蒲公英链接,达人类型,人设标签,IP城市,报价,预算状态,预计发布时间,粉丝数,近30天流量稳定性,限流风险判断,合作笔记自然CPC,合作笔记自然CPE,搜索+推荐占比,35岁以上粉丝占比,孩子年龄,孩子年级,孩子性别,家庭/教育话题点,30天外溢进店成本,90天外溢进店成本,评分总分,评分等级,推荐等级,硬性条件通过,达人池分组,当前状态,合作方向,备注
pgy:爱学习的可乐🥤:8400.0:1850.0:安徽 合肥 包河区,爱学习的可乐🥤,,,6-12岁/萌娃/教育/测评/vlog/教育/教育,安徽 合肥 包河区,1850,,,8400,,,,,,,,,,,,,63,C,备选,否,观察暂缓,待补数据,适合做答疑笔功能测评、作业场景实拍、学习提效对比，偏工具型种草和转化补量位。,【大模型分析】测评+教育vlog属性强，低报价且阅读互动效率亮眼，适合产品种草；但粉丝规模小，且缺少蒲公英链接与35+粉丝占比等硬信息。
pgy:爱动手的Betty妈:20000.0:3000.0:福建 厦门 同安区,爱动手的Betty妈,,,6-12岁/妈妈/教育/母婴/2+/教育/教育,福建 厦门 同安区,3000,,,20000,,,,,,,,,,,,,61,C,备选,否,观察暂缓,待补数据,适合做功能演示、错题订正、学习效率工具测评，偏卖货转化型内容，比纯人设叙事更适合。,【大模型分析】互动表现突出，且明确偏3C合作，对答疑笔产品表达可能较自然；但缺少蒲公英链接、35+粉丝占比与初高中学段证明。
pgy:朝阳小北妈妈:57000.0:4900.0:北京,朝阳小北妈妈,,,6-12岁/妈妈/教育/vlog/教育/教育,北京,4900,,,57000,,,,,,,,,,,,,58,C,备选,否,观察暂缓,待补数据,可做北京家庭教育决策、作业答疑减负、住校/升学家庭日常场景内容，适合作为曝光型妈妈账号备选。,【大模型分析】北京IP与妈妈教育vlog人设贴合，中产家庭叙事潜力较好；但缺少蒲公英链接、35+粉丝占比和学段数据，暂不能过硬筛。
pgy:Julia生活育儿:23000.0:2900.0:陕西 西安 碑林区,Julia生活育儿,,,6-12岁/妈妈/教育/母婴/2+/教育/教育,陕西 西安 碑林区,2900,,,23000,,,,,,,,,,,,,56,C,备选,否,观察暂缓,待补数据,适合做家长视角学习辅导、作业答疑工具种草，偏教育型转化补位，需先补齐画像数据。,【大模型分析】亲子教育方向贴近项目，报价低、互动表现较好；但缺少蒲公英链接及35+粉丝占比，孩子阶段也偏6-12岁泛化。
pgy:硕士奶爸挖宝记:28000.0:3800.0:福建 福州 马尾区,硕士奶爸挖宝记,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/6588fd8d000000001c0284f7?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,爸爸/萌娃/教育/母婴/开箱/教育/教育,福建 福州 马尾区,3800,,,28000,,,,,,,,,,母婴、萌娃、家居家装,,,54,C,备选,否,观察暂缓,待审核,可做高知家庭辅导场景、学习效率提升和答疑笔功能展示；建议仅在补齐35+受众数据后合作。,【大模型分析】硕士奶爸人设与教育科技内容有契合，流量表现很强、报价低，但粉丝年龄25-34占比过高，硬门槛不稳。
pgy:京妈说:13000.0:2500.0:天津,京妈说,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/556cd2ede58d131daeb485e9?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/测评/教育/教育,天津,2500,,,13000,,,,,,,,,,母婴、家居家装、萌娃,,,52,C,备选,否,观察暂缓,待审核,适合做教育政策解读、家庭学习管理、答疑笔使用场景内容，可作为教育垂类备选观察对象。,【大模型分析】教育母婴内容契合，互动率与活跃度较好，且有北京相关地域联想；但粉丝年龄未证明35+达标，仍触发硬性风险。
pgy:Lolaaaa:51000.0:4500.0:上海,Lolaaaa,,,学生/教育/plog/2+/教育/教育,上海,4500,,,51000,,,,,,,,,,,,,49,C,备选,否,观察暂缓,待补数据,更适合校园学习效率、错题答疑、考试备考场景做曝光型内容，不宜承担核心家长转化角色。,【大模型分析】上海IP加分，教育类目与3C合作心智较契合，适合做曝光；但学生人设非家长/教师，不满足核心高知家庭诉求且缺链接。
pgy:金豆妈爱分享:16000.0:2500.0:江苏 徐州 泉山区,Julia生活育儿,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/668cc4d6000000000b03186b?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/2+/教育/教育,陕西 西安 碑林区,2900,,,23000,,,,,,41%,,,,母婴、美食、家居家装,,,48,C,不推荐,是,观察暂缓,已驳回,若补齐孩子年级和教育内容沉淀，可尝试低预算测试亲子学习工具分享；当前不建议列入主投名单。,【大模型分析】报价低且35+粉丝占比刚达线，但核心流量与成本数据缺失，内容偏母婴美食家居，教育心智和大童阶段不清晰。
pgy:Peter妈妈:17000.0:2200.0:湖南 株洲 天元区,Peter妈妈,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5676d41db8ce1a042f292b51?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/3+/教育/教育,湖南 株洲 天元区,2200,,,17000,,,,,,,,,,母婴、教育、美食,,,46,C,不推荐,否,观察暂缓,待审核,若补充孩子年级为小升初及以上，可尝试学习工具测评、作业辅导场景种草，偏长尾转化补充位。,【大模型分析】报价友好、互动表现尚可，但粉丝年龄以25-34为主，未满足35+硬性要求，且孩子阶段未明确到初高中。
pgy:依依有个姐姐:45000.0:2000.0:山西 太原 小店区,依依有个姐姐,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/604eaa5400000000010007aa?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,学生/家庭/教育/vlog/沉浸式/教育/教育,山西 太原 小店区,2000,,,45000,,,,,,,,,,生活记录、教育、娱乐,,,46,C,不推荐,否,观察暂缓,待审核,更适合做学生向学习场景曝光或话题内容，不适合本项目面向家长决策层的主投放。,【大模型分析】流量和互动很强且价格低，但粉丝年龄明显偏年轻，35+占比未满足硬门槛；家庭教育场景有，但转化人群不准。
pgy:S-L-Y酸辣鱼:12000.0:1600.0:辽宁 沈阳 沈河区,S-L-Y酸辣鱼,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5f0500660000000001002622?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/教程/教育/教育,辽宁 沈阳 沈河区,1600,,,12000,,,,,,,,,,母婴、萌娃、家居家装,,,42,C,不推荐,否,观察暂缓,待审核,更适合基础母婴/家庭教育泛人群投放；如后续有低预算测试盘，可做功能点讲解型内容验证。,【大模型分析】价格低、阅读互动中位数不错，但粉丝25-34占比过高，明显不符35+硬性门槛，家庭阶段也偏泛母婴。
pgy:怂怂:65000.0:3500.0:广东 广州 黄埔区,怂怂,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5f1197ff000000000100600f?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,学生/教育/教程/2+/教育/教育,广东 广州 黄埔区,3500,,,65000,,,,,,,,,,教育、娱乐、生活记录,,,41,C,不推荐,否,观察暂缓,待审核,仅适合作为年轻学习工具曝光补量号；若项目坚持家长决策链路，不建议纳入本轮投放。,【大模型分析】阅读互动与性价比亮眼，适合拉曝光，但本人是学生人设，粉丝18-24占比高，和高知家长购笔场景错位明显。
pgy:清华丸子雨学姐:45000.0:3500.0:北京,清华丸子雨学姐,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5f2a1c4d0000000001000279?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,创业者/学生/教育/vlog/教育/教育,北京,3500,,,45000,,,,,,,,,,生活记录、二次元、娱乐,,,39,C,不推荐,否,观察暂缓,待审核,如做年轻学生向品牌认知可考虑，但不适合本次以家长决策和教育答疑笔转化为核心的合作。,【大模型分析】北京IP和清华标签有讨论度，但粉丝年龄明显偏年轻，兴趣偏生活记录二次元娱乐，不符合35+粉丝硬要求。
pgy:小狮子当当:27000.0:2500.0:四川 成都 双流区,小狮子当当,,,6-12岁/萌娃/教育/母婴/3+/教育/教育,四川 成都 双流区,2500,,,27000,,,,,,,,,,,,,37,C,不推荐,否,观察暂缓,待补数据,若补齐数据，仅适合低预算泛教育种草或小学家庭启蒙场景，不建议作为本轮核心合作对象。,【大模型分析】报价低但缺少蒲公英链接、粉丝35+占比与孩子学段信息；偏萌娃母婴，和初高中教育答疑笔核心人群不够匹配。
pgy:妤熙麻麻:13000.0:1500.0:重庆,妤熙麻麻,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5a8069a7e8ac2b6ad96808f0?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/萌娃/教育/母婴/vlog/教育/教育,重庆,1500,,,13000,,,,,,,,,,母婴、萌娃、家居家装,,,35,C,不推荐,否,观察暂缓,待审核,若后续补齐孩子年级和成熟家长受众数据，可做性价比测评型种草；目前不建议优先合作。,【大模型分析】价格极优、活跃度尚可，但受众25-34占绝对主导，35+硬门槛不满足风险高，且缺初高中家庭信息。
pgy:Levi爸爸说育儿:20000.0:2000.0:福建 福州 马尾区,Levi爸爸说育儿,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/64029398000000001001ec3d?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,爸爸/萌娃/教育/母婴/教育/教育,福建 福州 马尾区,2000,,,20000,,,,,,,,,,母婴、萌娃、家居家装,,,34,C,不推荐,否,观察暂缓,待审核,更适合低幼母婴或家庭用品合作，不适合有道答疑笔面向大童学习场景的核心投放。,【大模型分析】阅读表现亮眼且报价低，但粉丝年龄以25-34为主，内容重萌娃母婴，和初高中大孩家庭及35+家长人群明显不符。
pgy:是17宝宝吖～:12000.0:2500.0:安徽 亳州 谯城区,是17宝宝吖～,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/59c1cfc044363b34d2522355?track_id=kolMatch_3cfdb458d996418f8bc47c5fd687ab61&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,1-3岁/妈妈/家居家装/母婴/4+/白皮,安徽 亳州 谯城区,2500,,,12000,,,,,,,,,,母婴、家居家装、萌娃,,,34,C,不推荐,否,观察暂缓,待审核,若仅补充低价种草可考虑家庭学习收纳场景，但不建议进入本次核心教育投放名单。,【大模型分析】报价低且互动尚可，但为1-3岁母婴家居方向，孩子阶段与教育答疑笔不符，且35+粉丝占比信息不达标。
pgy:嘟嘟仔:13000.0:4200.0:浙江 台州 温岭市,嘟嘟仔,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/55faaeb341a2b34bcee5d724?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/开箱/教育/教育,浙江 台州 温岭市,4200,,,13000,,,,,,,,,,母婴、萌娃、家居家装,,,33,C,不推荐,否,观察暂缓,待审核,如补充证明大龄家长受众占比达标，可尝试作业辅导工具开箱；当前不建议进入正式名单。,【大模型分析】报价低但缺核心数据，粉丝年龄以25-34为主，35+硬性要求大概率不达标，且偏母婴低龄家庭。
pgy:可慕妈妈:11000.0:1700.0:吉林 长春 南关区,可慕妈妈,,,6-12岁/萌娃/教育/母婴/3+/教育/教育,吉林 长春 南关区,1700,,,11000,,,,,,,,,,,,,32,C,不推荐,否,观察暂缓,已驳回,如后续补齐数据，可尝试普通家庭作业陪伴场景；当前更适合作为低优先级储备，不建议首轮合作。,【大模型分析】价格友好且有亲子教育标签，但关键流量数据缺失，蒲公英链接缺失，孩子阶段与高知教育人设信息不足，风险较高。
pgy:思思当妈啦:22000.0:2000.0:广西 桂林 灵川县,思思当妈啦,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5eff548700000000010046ac?track_id=kolMatch_3cfdb458d996418f8bc47c5fd687ab61&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,萌娃/妈妈/母婴/测评/教程/教程,广西 桂林 灵川县,2000,,,22000,,,,,,,,,,母婴、萌娃、美食,,,31,C,不推荐,否,观察暂缓,待审核,仅适合低龄亲子工具或泛家用3C测评，不适合答疑笔面向初高中家庭的核心合作。,【大模型分析】价格友好、基础流量不错，但核心是低龄母婴萌娃测评，孩子阶段与高知家长教育需求严重错位，粉丝年龄也不清晰。
pgy:陈耳东的装修日记:26000.0:4500.0:河南 信阳 息县,陈耳东的装修日记,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/657d65ce000000001c019ca7?track_id=kolMatch_3cfdb458d996418f8bc47c5fd687ab61&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,家居家装/测评,河南 信阳 息县,4500,,,26000,,,,,,32%,,,,家居家装、美食、生活记录,,,29,C,不推荐,否,观察暂缓,已驳回,若仅补充低预算生活化露出可做泛家庭场景种草，但不建议纳入本次教育答疑笔核心合作名单。,【大模型分析】报价低但35岁以上粉丝占比仅32.4%，未达硬性门槛；且家居人设、无教育与大孩信息，项目适配度弱。
pgy:赞宝赞宝:26000.0:4200.0:安徽 宿州 埇桥区,赞宝赞宝,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/64d06a82000000000b007738?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,3-6岁/妈妈/教育/母婴/2+/教育/教育,安徽 宿州 埇桥区,4200,,,26000,,,,,,,,,,母婴、萌娃、家居家装,,,28,C,不推荐,否,观察暂缓,待审核,若仅做低预算泛母婴测试可尝试学习工具种草；不建议进入本轮大孩教育核心投放池。,【大模型分析】报价低但为3-6岁母婴萌娃账号，孩子阶段与项目不符；35+粉占比和CPC/CPE缺失，无法通过核心筛选。
pgy:全能麻麻育儿:25000.0:2000.0:广东 揭阳 榕城区,全能麻麻育儿,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/63c2bed40000000026005069?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,1-3岁/妈妈/教育/母婴/2+/教育/教育,广东 揭阳 榕城区,2000,,,25000,,,,,,,,,,母婴、萌娃、家居家装,,,18,C,不推荐,否,观察暂缓,待审核,不建议用于本项目；更适合低幼母婴用品合作，与答疑笔核心购买人群和内容场景不匹配。,【大模型分析】虽报价低，但孩子年龄为1-3岁，与项目核心学龄段严重不符；近30日流量数据极差，粉丝年龄结构也不达标。
