达人ID,达人昵称,蒲公英链接,达人类型,人设标签,IP城市,报价,预算状态,预计发布时间,粉丝数,近30天流量稳定性,限流风险判断,合作笔记自然CPC,合作笔记自然CPE,搜索+推荐占比,35岁以上粉丝占比,孩子年龄,孩子年级,孩子性别,家庭/教育话题点,30天外溢进店成本,90天外溢进店成本,评分总分,评分等级,推荐等级,硬性条件通过,达人池分组,当前状态,合作方向,备注
pgy:金豆妈爱分享:16000.0:2500.0:江苏 徐州 泉山区,Julia生活育儿,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/668cc4d6000000000b03186b?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/2+/教育/教育,陕西 西安 碑林区,2900,,,23000,,,,,,41%,,,,母婴、美食、家居家装,,,90,A,推荐,是,观察暂缓,已驳回,适合家长真实陪学、家庭作业辅导、孩子学习效率提升等场景，作为教育母婴种草型达人优先补采。,【大模型分析】妈妈+教育母婴人设契合，粉丝35-44占41.3%满足硬门槛，报价低、粉丝活跃和增速不错；但孩子年级、CPC/CPE、搜索推荐占比、限流风险仍待补，且非京沪IP略减分。
pgy:爱动手的Betty妈:20000.0:3000.0:福建 厦门 同安区,爱动手的Betty妈,,,6-12岁/妈妈/教育/母婴/2+/教育/教育,福建 厦门 同安区,3000,,,20000,,,,,,,,,,,,,69,C,不推荐,否,观察暂缓,待补数据,若补证孩子临近升学，可尝试家长陪学、作业管理类轻种草内容,【大模型分析】报价友好，教育母婴妈妈有一定相关性，但更偏6-12岁泛育儿，缺少初高中/小升初信号；35+粉占比、自然流量效率、搜索推荐、限流风险、蒲公英链接待补，当前不宜优先。
pgy:可慕妈妈:11000.0:1700.0:吉林 长春 南关区,可慕妈妈,,,6-12岁/萌娃/教育/母婴/3+/教育/教育,吉林 长春 南关区,1700,,,11000,,,,,,,,,,,,,64,C,不推荐,否,观察暂缓,已驳回,如后续补齐链接与核心数据，可尝试小学高年级学习工具种草，但当前不进入主池。,【大模型分析】教育母婴标签和6-12岁阶段有一定相关性，且报价低；但缺少蒲公英链接已触发硬性不符，粉丝年龄、CPC/CPE、流量来源等关键信息缺失，孩子年级也未明确。
pgy:妤熙麻麻:13000.0:1500.0:重庆,妤熙麻麻,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5a8069a7e8ac2b6ad96808f0?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/萌娃/教育/母婴/vlog/教育/教育,重庆,1500,,,13000,,,,,,,,,,母婴、萌娃、家居家装,,,63,C,不推荐,是,观察暂缓,待审核,如补证孩子已到高年级，可尝试家庭作业辅导/学习效率工具种草；更适合作为低成本长尾备选。,【大模型分析】有蒲公英链接、报价低，教育母婴场景可植入；但孩子更像6-12岁，未见初高中大孩信号，且粉丝35+占比、CPC/CPE、搜索推荐占比与流量数据缺失较多，项目适配度偏弱。
pgy:Lolaaaa:51000.0:4500.0:上海,Lolaaaa,,,学生/教育/plog/2+/教育/教育,上海,4500,,,51000,,,,,,,,,,,,,60,C,不推荐,否,观察暂缓,待补数据,更适合学生自用或校园内容，不适合本次家长教育决策型项目投放。,【大模型分析】上海IP有加分，报价也低；但学生人设与项目核心的家长/教师/高知家庭不匹配，且缺失蒲公英链接，命中硬性要求。粉丝画像、效率、流量稳定性均待补，当前不具备推进价值。
pgy:小狮子当当:27000.0:2500.0:四川 成都 双流区,小狮子当当,,,6-12岁/萌娃/教育/母婴/3+/教育/教育,四川 成都 双流区,2500,,,27000,,,,,,,,,,,,,58,C,不推荐,否,观察暂缓,待补数据,若后续补齐链接且孩子已进入高年级，可再看家庭学习陪伴类；当前不建议进入本项目。,【大模型分析】缺少蒲公英链接，命中硬性项；且现有人设偏6-12岁萌娃母婴，不是小升初/初高中大孩方向。报价低但核心受众、孩子阶段、35+占比及成本效率均未证实。
pgy:依依有个姐姐:45000.0:2000.0:山西 太原 小店区,依依有个姐姐,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/604eaa5400000000010007aa?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,学生/家庭/教育/vlog/沉浸式/教育/教育,山西 太原 小店区,2000,,,45000,,,,,,,,,,生活记录、教育、娱乐,,,54,C,不推荐,否,观察暂缓,待审核,更适合学生学习效率或校园内容，不适合本项目核心家长决策人群投放。,【大模型分析】流量和互动很强、价格低，但粉丝年龄以18岁以下为主，明显不符35岁+占比硬性要求；且学生人设不符合家长/高知/亲子教育家庭方向。
pgy:是17宝宝吖～:12000.0:2500.0:安徽 亳州 谯城区,是17宝宝吖～,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/59c1cfc044363b34d2522355?track_id=kolMatch_3cfdb458d996418f8bc47c5fd687ab61&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,1-3岁/妈妈/家居家装/母婴/4+/白皮,安徽 亳州 谯城区,2500,,,12000,,,,,,,,,,母婴、家居家装、萌娃,,,52,C,不推荐,否,观察暂缓,待审核,若放宽项目条件，仅适合低价母婴测评或家庭学习场景，不适合答疑笔核心投放。,【大模型分析】报价低且活跃度尚可，但粉丝年龄已知25-34占比58.9%，基本不满足35岁以上占比>40%的硬性要求；人设偏低幼母婴家居，孩子阶段不符，待补CPC/CPE与搜索推荐占比。
pgy:赞宝赞宝:26000.0:4200.0:安徽 宿州 埇桥区,赞宝赞宝,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/64d06a82000000000b007738?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,3-6岁/妈妈/教育/母婴/2+/教育/教育,安徽 宿州 埇桥区,4200,,,26000,,,,,,,,,,母婴、萌娃、家居家装,,,51,C,不推荐,是,观察暂缓,待审核,如补采后受众年龄达标，可尝试家长陪学/启蒙过渡内容；当前更适合低龄教育品。,【大模型分析】低报价、有教育母婴标签和蒲公英链接，但孩子为3-6岁倾向，与项目所需小升初/初高中大孩不符；35+粉丝占比、CPC/CPE、搜索推荐流量待补，城市与高知人设也不占优。
pgy:思思当妈啦:22000.0:2000.0:广西 桂林 灵川县,思思当妈啦,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5eff548700000000010046ac?track_id=kolMatch_3cfdb458d996418f8bc47c5fd687ab61&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,萌娃/妈妈/母婴/测评/教程/教程,广西 桂林 灵川县,2000,,,22000,,,,,,,,,,母婴、萌娃、美食,,,51,C,不推荐,否,观察暂缓,待审核,更适合母婴测评或低幼家庭产品，不适合本项目初高中大孩教育决策人群。,【大模型分析】报价极低、阅读互动数据强，具备性价比；但粉丝年龄已知25-34占比66.7%，大概率不满足35岁以上占比>40%硬性要求，且人设偏育婴师/低幼母婴，孩子阶段明显不符。
pgy:怂怂:65000.0:3500.0:广东 广州 黄埔区,怂怂,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5f1197ff000000000100600f?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,学生/教育/教程/2+/教育/教育,广东 广州 黄埔区,3500,,,65000,,,,,,,,,,教育、娱乐、生活记录,,,50,C,不推荐,否,观察暂缓,待审核,更适合学生端学习工具传播，不适合本项目以家长为核心的转化链路。,【大模型分析】教育教程属性和流量表现不错，报价也可控；但粉丝年龄18-24占比过高，不满足35岁+核心家长画像硬性要求，且学生人设与项目家庭决策场景不符。
pgy:全能麻麻育儿:25000.0:2000.0:广东 揭阳 榕城区,全能麻麻育儿,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/63c2bed40000000026005069?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,1-3岁/妈妈/教育/母婴/2+/教育/教育,广东 揭阳 榕城区,2000,,,25000,,,,,,,,,,母婴、萌娃、家居家装,,,38,C,不推荐,是,观察暂缓,待审核,不建议进入本项目；如做其他母婴低龄产品，可走性价比测评/教程种草路线。,【大模型分析】报价极低且有教育母婴标签、蒲公英链接，但孩子为1-3岁明显不符项目大孩阶段；近30日阅读/曝光表现很弱，流量质量偏差。35+粉丝占比、CPC/CPE、搜索推荐占比仍待补。
pgy:陈耳东的装修日记:26000.0:4500.0:河南 信阳 息县,陈耳东的装修日记,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/657d65ce000000001c019ca7?track_id=kolMatch_3cfdb458d996418f8bc47c5fd687ab61&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,家居家装/测评,河南 信阳 息县,4500,,,26000,,,,,,32%,,,,家居家装、美食、生活记录,,,28,C,不推荐,否,观察暂缓,已驳回,不建议本项目合作；若跨品类测试，仅可做家庭学习空间/书桌场景软植入。,【大模型分析】报价合规且有蒲公英链接，但35岁以上粉丝占比32.4%低于硬门槛40%，且家居装修人设与教育/亲子大孩项目不符；CPC/CPE、搜索推荐占比、孩子阶段待补。
